,City,Country,Lat,Lng,Hotel Name
542,Lorengau,PG,-2.02,147.27,
543,Lakes Entrance,AU,-37.88,147.98,
544,Calama,CL,-22.47,-68.93,
545,Banyo,CM,6.75,11.82,
546,Morehead,US,37.27,-87.18,
547,Yakeshi,CN,49.28,120.73,
548,Deputatsky,RU,69.3,139.9,
549,Badou,TG,7.58,0.6,
550,Mutoko,ZW,-17.4,32.23,
551,Poum,NC,-20.23,164.02,
552,Lubao,PH,14.92,120.55,
553,Murmashi,RU,68.82,32.81,
554,Kosonsoy,UZ,41.26,71.55,
555,Chato,TZ,-2.64,31.77,
556,Bereda,ES,43.27,-7.54,
557,Conceição do Araguaia,BR,-8.26,-49.26,
558,Amahai,ID,-3.33,128.92,
559,Snezhnogorsk,RU,69.19,33.25,
560,Makkah al Mukarramah,SA,21.43,39.83,
561,Hailey,US,43.52,-114.32,
562,Goderich,CA,43.75,-81.72,
563,Uvira,CD,-3.41,29.15,
564,Lae,PG,-6.72,146.98,
565,Rock Sound,BS,24.9,-76.2,
